"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
38,Perfect,"Simple Plan","canadian punk/canadian rock/pop punk/pop rock/post-grunge",12,0.557,0.494,0.672,0.105,0,4.877,0.0405,0.0273,156.208,277027
39,Savior,"Rise Against","alternative metal/hardcore punk/nu metal/pop punk/post-grunge/punk/rap metal",73,0.526,0.549,0.93,0.39,6.67E-5,3.468,0.0487,0.00164,112.447,242280
40,Broken,"Seether/Amy Lee","alternative metal/nu metal/post-grunge/rap metal/rap rock",62,0.188,0.405,0.606,0.143,0.00101,2.929,0.0366,0.00897,123.777,258516
41,"Ocean Avenue",Yellowcard,"bow pop/emo/modern rock/pop punk/pop rock/post-grunge/punk",72,0.786,0.486,0.904,0.0947,2.83E-5,3.751,0.0638,3.43E-5,173.734,198267
42,"Move Along","The All-American Rejects","modern rock/neo mellow/pop punk/pop rock/post-grunge",68,0.628,0.529,0.922,0.26,0,3.84,0.0459,0.000198,109.847,238880
43,Decode,Paramore,"candy pop/emo/pixie/pop emo/pop punk",60,0.277,0.282,0.866,0.101,0.0055,4.223,0.0588,0.000705,163.987,261960
44,"American Idiot","Green Day","permanent wave/pop punk/punk/rock",78,0.769,0.38,0.988,0.368,7.86E-5,2.042,0.0639,2.64E-5,186.113,176346
45,"Check Yes, Juliet","We The Kings","emo/neo mellow/piano rock/pop emo/pop punk/pop rock/post-teen pop",69,0.351,0.352,0.912,0.193,0,4.253,0.0725,0.00197,166.795,220147
46,"Into Your Arms","The Maine","emo/modern alternative rock/modern rock/pop emo/pop punk/pop rock/post-teen pop",52,0.469,0.349,0.715,0.116,0,3.422,0.0344,0.102,179.883,239227
47,"Somebody Told Me","The Killers","indie rock/modern rock/permanent wave/rock/vegas indie",71,0.767,0.5,0.975,0.104,0.000379,3.176,0.0824,0.000123,138.005,197160
48,"Never Too Late","Three Days Grace","alternative metal/canadian metal/canadian rock/nu metal/pop punk/post-grunge/rap metal",70,0.217,0.433,0.778,0.163,0,4.68,0.0371,0.00838,149.864,209333
49,"Welcome to the Black Parade","My Chemical Romance","emo/pop punk",77,0.236,0.217,0.905,0.222,0.00011,4.103,0.0752,0.000289,96.95,311107
50,"Floral & Fading","Pierce The Veil","pop punk/screamo",56,0.761,0.653,0.796,0.397,0,3.765,0.0252,0.00115,99.988,209187
