"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
36,"All I Am","Jess Glynne","dance pop/pop/post-teen pop/r&b/tropical house",87,0.536,0.74,0.669,0.184,0,5.199,0.0373,0.0445,122.007,218868
37,"Wake Up in the Sky","Gucci Mane/Bruno Mars/Kodak Black","dirty south rap/hip hop/pop/pop rap/rap/southern hip hop/trap music",92,0.367,0.8,0.578,0.359,0,5.144,0.0485,0.00381,143.01,204665
38,"No One Compares To You","Jack & Jack","dance pop/pop/post-teen pop/teen pop",75,0.625,0.703,0.748,0.0642,0,6.047,0.0435,0.123,111.943,184080
39,"My Blood","Twenty One Pilots","pop punk/rock",85,0.674,0.749,0.723,0.0977,0.022,6.609,0.0432,0.0563,108.999,229120
40,"No Stylist","French Montana/Drake","hip hop/pop/pop rap/rap/southern hip hop/trap music",91,0.498,0.765,0.704,0.227,0,4.589,0.127,0.0215,147.055,192172
41,"Love No More","Loud Luxury/anders","edm/tropical house",66,0.222,0.765,0.672,0.258,5.92E-5,6.251,0.0538,0.0205,121.006,168636
42,Noticed,"Lil Mosey","trap music/vapor trap",91,0.493,0.699,0.558,0.116,0,7.622,0.0603,0.462,79.992,165000
43,"Look What I Found","Lady Gaga","dance pop/pop/post-teen pop",77,0.447,0.849,0.493,0.133,0.000463,4.1,0.0417,0.456,97.012,175240
44,"Drip Too Hard","Lil Baby/Gunna","pop rap/rap/trap music",91,0.399,0.9,0.653,0.528,0,6.962,0.289,0.0945,112.503,145603
45,Celoso,"Lele Pons","viral pop",88,0.667,0.746,0.703,0.331,0,4.179,0.107,0.352,166.043,179693
46,"Lost In Japan - Remix","Shawn Mendes/Zedd","canadian pop/dance pop/pop/post-teen pop/viral pop",85,0.377,0.694,0.852,0.334,0,5.34,0.257,0.0882,107.178,201253
47,"You Say","Lauren Daigle","ccm/christian music",83,0.1,0.494,0.637,0.0882,0,6.381,0.0333,0.669,147.924,274693
48,"Say My Name","David Guetta/Bebe Rexha/J Balvin","dance pop/edm/pop",85,0.79,0.703,0.66,0.192,0,5.119,0.123,0.137,95.031,198947
49,Trip,"Ella Mai","indie r&b/pop/r&b/uk contemporary r&b/urban contemporary",85,0.387,0.717,0.605,0.138,0,5.68,0.075,0.214,81.047,217118
50,"Mo Bamba","Sheck Wes","hip hop/pop rap/rap/southern hip hop/trap music/underground hip hop/vapor trap",88,0.319,0.738,0.629,0.163,0.00114,4.882,0.0495,0.268,146.067,180898
