"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
33,"So Easy","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",32,0.438,0.736,0.924,0.177,0.00017,-4.564,0.0707,0.246,133.19,240053
34,"Flames Go Higher","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",32,0.948,0.717,0.93,0.0818,0.0174,-4.525,0.0339,0.234,94.534,173653
35,"Bad Dream Mama","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",30,0.614,0.581,0.949,0.21,0,-5.671,0.121,0.624,72.598,182640
36,"English Girl","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",28,0.639,0.743,0.893,0.0916,1.29E-5,-3.456,0.0728,0.393,129.977,158333
37,"Stacks O' Money","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",27,0.703,0.703,0.945,0.0859,0,-4.721,0.0615,0.225,127.918,168920
38,"Midnight Creeper","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",27,0.26,0.691,0.362,0.1,1.16E-5,-8.992,0.0594,0.831,98.078,117760
39,"Stuck in the Metal","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",36,0.602,0.694,0.982,0.156,0,-4.013,0.137,0.281,126.16,198320
40,"Already Died","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",28,0.729,0.723,0.939,0.0949,0.15,-5.914,0.0393,0.507,114.183,180213
41,"Kiss the Devil","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",28,0.311,0.557,0.964,0.162,0.00585,-4.902,0.057,0.38,116.863,172053
42,"Whorehoppin' (Shit, Goddam)","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",36,0.552,0.789,0.722,0.47,0.0137,-6.253,0.0798,0.201,131.938,214067
43,"San Berdoo Sunburn","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",32,0.59,0.653,0.829,0.242,2.62E-5,-5.196,0.125,0.621,125.296,222240
44,"Wastin' My Time","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",25,0.248,0.519,0.822,0.165,0.0304,-4.646,0.0433,0.236,108.803,162693
45,"Miss Alissa","Eagles Of Death Metal","alternative rock/blues-rock/garage rock/modern rock/punk blues/rock/stoner rock",48,0.882,0.55,0.991,0.197,0,-3.704,0.12,0.805,172.389,158600
46,"Love Kinetic","Vacant Windows",---,0,0.697,0.621,0.602,0.143,0.376,-9.531,0.0289,0.0339,130.001,214265
47,"Stories of the Fallout","Vacant Windows",---,0,0.613,0.52,0.616,0.121,0.775,-7.295,0.0298,0.00225,119.912,236750
48,"Who Cares","Vacant Windows",---,0,0.522,0.555,0.808,0.139,0.273,-8.304,0.0309,0.019,113.018,229277
49,"Better Days Are Gone","Vacant Windows",---,0,0.331,0.69,0.378,0.108,0.289,-9.048,0.0263,0.8,112.979,278094
50,Elephant!,"Vacant Windows",---,0,0.479,0.528,0.505,0.155,0.0401,-11.501,0.033,0.00469,123.003,287961
51,Swell,"Vacant Windows","contemporary post-bop/jazz funk/jazz fusion",0,0.353,0.683,0.422,0.109,0.364,-12.812,0.0317,0.265,93.985,189116
52,"Full Hearts","Vacant Windows","contemporary post-bop/jazz funk/jazz fusion",6,0.372,0.628,0.734,0.0958,0.0002,-9.141,0.03,0.0369,112.979,201940
53,Skirmishes,"Vacant Windows","contemporary post-bop/jazz funk/jazz fusion",0,0.333,0.595,0.832,0.242,0.0315,-10.76,0.0337,0.0611,122.981,247816
54,"Heartaches and Science","Vacant Windows","contemporary post-bop/jazz funk/jazz fusion",0,0.715,0.606,0.69,0.0588,0.418,-10.895,0.0364,0.127,91.041,257345
55,"Like a Ghost","Vacant Windows","contemporary post-bop/jazz funk/jazz fusion",0,0.423,0.722,0.731,0.312,0.0579,-8.507,0.0314,0.653,113.002,241280
56,"Tough to Be a Teenager","Vacant Windows","contemporary post-bop/jazz funk/jazz fusion",0,0.667,0.588,0.584,0.0985,0.123,-13.058,0.0287,0.00794,99.567,319365
57,"Lose One Friend","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.445,0.327,0.566,0.375,0,-11.581,0.0755,0.0573,127.895,177476
58,"Lose All Friends","Hotel Books","contemporary post-bop/jazz funk/jazz fusion",0,0.205,0.254,0.735,0.202,0.00936,-11.378,0.04,0.0627,79.263,138057
