"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
36,"You Took The Words Right Out of My Mouth (Hot Summer Night)","Meat Loaf","album rock/mellow gold/rock/soft rock",57,0.68,0.459,0.681,0.498,0,8.773,0.0794,0.254,125.02,304440
37,"Karma Chameleon","Culture Club","dance rock/disco/europop/mellow gold/new romantic/new wave/new wave pop/soft rock/synthpop",66,0.928,0.661,0.552,0.206,0,12.385,0.0337,0.214,92.056,252760
38,Angels,"Robbie Williams","dance pop/europop/pop",68,0.257,0.431,0.59,0.0981,1.11E-5,6.362,0.0284,0.163,150.193,265333
39,Rhiannon,"Fleetwood Mac","album rock/mellow gold/rock/soft rock",70,0.795,0.723,0.49,0.0923,0.0946,14.745,0.0296,0.111,129.012,252773
40,"Enter Sandman",Metallica,"alternative metal/hard rock/metal/rock/speed metal/thrash metal",38,0.604,0.577,0.828,0.0581,0.0114,8.691,0.0298,0.00213,123.257,331267
41,"Don't Be Cruel","Elvis Presley",christmas/rock-and-roll/rockabilly,64,0.844,0.697,0.55,0.0907,3.44E-5,11.496,0.18,0.856,84.802,122893
42,"Need You Tonight",INXS,"australian alternative rock/australian rock/dance rock/mellow gold/new romantic/new wave/new wave pop/rock/soft rock",64,0.785,0.795,0.63,0.0894,0.575,7.217,0.0841,0.0419,108.701,181107
43,"Space Oddity - 2015 Remastered Version","David Bowie","art rock/dance rock/glam rock/new wave/permanent wave/protopunk/rock",72,0.434,0.299,0.443,0.177,0.000138,12.621,0.0346,0.0748,139.539,318813
44,"Last Goodbye","Jeff Buckley","folk-pop/melancholia/permanent wave/rock/singer-songwriter",57,0.495,0.492,0.845,0.209,0.00121,5.686,0.0442,0.0297,86.988,275493
45,"Girls Just Want to Have Fun","Cyndi Lauper","dance pop/dance rock/europop/mellow gold/new wave pop/permanent wave/pop rock/soft rock",69,0.746,0.707,0.788,0.308,0.000571,5.269,0.0333,0.214,120.465,238120
46,"Another Brick in the Wall, Pt. 2","Pink Floyd","album rock/art rock/classic rock/progressive rock/psychedelic rock/rock/symphonic rock",76,0.719,0.694,0.394,0.247,0.000677,15.881,0.0428,0.0781,104.126,238747
47,"Treaty (Radio Mix)","Yothu Yindi","australian indigenous/australian rock/didgeridoo",26,0.767,0.701,0.952,0.354,0.00121,4.891,0.0507,2.56E-5,122.288,243080
48,"American Pie","Don McLean","folk/folk rock/mellow gold/singer-songwriter/soft rock/traditional folk",74,0.497,0.527,0.509,0.144,0,10.893,0.0628,0.6,138.317,515867
49,"Nothing Compares 2 U","Sinéad O'Connor","folk/folk-pop/lilith/new wave pop/pop rock",71,0.161,0.511,0.574,0.105,2.33E-5,7.016,0.0273,0.0425,119.917,280040
50,"You're So Vain","Carly Simon","adult standards/folk/folk rock/lilith/mellow gold/singer-songwriter/soft rock",74,0.647,0.659,0.678,0.0784,6.69E-6,8.18,0.0313,0.157,106.186,258411
51,"All Along the Watchtower","Jimi Hendrix","australian alternative rock/dance rock/kiwi rock/zolo",78,0.564,0.438,0.805,0.0842,5.69E-5,6.237,0.0624,0.00255,113.253,240800
52,"Good Riddance (Time of Your Life)","Green Day","dance rock/new wave pop/soft rock",76,0.648,0.475,0.432,0.161,0,7.844,0.0302,0.183,94.605,153467
53,"Call Me",Blondie,"album rock/art rock/classic rock/folk rock/mellow gold/psychedelic rock/rock",63,0.777,0.551,0.628,0.151,0.000194,13.799,0.036,0.0336,142.167,212893
54,"Uptown Funk","Mark Ronson/Bruno Mars","dance rock/new romantic/new wave/new wave pop/permanent wave/soft rock/synthpop",83,0.928,0.856,0.609,0.0344,8.15E-5,7.223,0.0824,0.00801,114.988,269667
55,"Blame It on the Boogie","The Jacksons","art rock/classic rock/dance rock/glam rock/new wave/permanent wave/protopunk/psychedelic rock/rock/singer-songwriter",51,0.881,0.774,0.747,0.112,0,7.302,0.0928,0.0671,113.298,210373
56,"You Can Call Me Al","Paul Simon","classic rock/folk/folk rock/folk-pop/mellow gold/rock/roots rock/singer-songwriter/soft rock",75,0.82,0.776,0.763,0.077,0.0065,8.124,0.0535,0.182,128.433,280000
57,"Throw Your Arms Around Me","Hunters & Collectors","album rock/british invasion/classic rock/protopunk/rock",61,0.93,0.57,0.765,0.317,0.00528,5.782,0.0264,0.156,112.966,233493
58,"Piano Man","Billy Joel","australian indigenous/australian pop/australian rock",74,0.431,0.334,0.472,0.317,3.77E-6,8.792,0.0277,0.6,179.167,336093
59,"Working Class Man","Jimmy Barnes","australian alternative rock/australian rock/dance rock",11,0.397,0.376,0.944,0.15,3.89E-5,3.882,0.0959,0.0115,138.322,250147
60,"The Real Slim Shady",Eminem,"glam rock/mellow gold/piano rock/rock/soft rock",67,0.787,0.947,0.655,0.0433,0,4.243,0.0609,0.0331,104.485,284800
61,"Love Will Tear Us Apart","Joy Division","irish rock/permanent wave/rock",71,0.909,0.443,0.956,0.135,0.825,6.198,0.0511,5.24E-5,146.754,206867
