"Track No.","Track Name",Artists,Genres,Popularity,Valence,Danceability,Energy,Liveness,Instrumentalness,Loudness,Speechiness,Acousticness,Tempo,Duration_ms
132,"Quitter’s Raga","Gold Panda","bass music/chillwave/future garage/indie r&b/indietronica/microhouse/wonky",37,0.48,0.266,0.706,0.307,0.0267,7.249,0.243,0.0633,151.531,117907
133,"Astronomy (8th Light)","Black Star/Weldon Irvine","alternative hip hop/east coast hip hop/hardcore hip hop/hip hop/pop rap/southern hip hop",45,0.803,0.888,0.739,0.0916,0,2.941,0.388,0.254,94.031,203680
134,"The Gal From Joe's","Etta Jones","cabaret/christmas/vocal jazz",9,0.691,0.638,0.39,0.0946,0.000142,13.11,0.0464,0.649,116.731,249627
135,"Sunrise in Beijing","Christian Scott aTunde Adjuah/Elena Pinderhughes","bebop/contemporary jazz/contemporary post-bop/cool jazz/indie jazz/jazz/jazz fusion/jazz trumpet/new orleans jazz",33,0.351,0.341,0.824,0.0791,0.312,5.443,0.061,0.0763,103.079,304238
136,"When Will I See You Again",Shakka,"grime/house/uk hip hop",39,0.624,0.594,0.893,0.134,0,5.813,0.135,0.303,150.084,218000
137,QACHINA,"Damien Jurado","alternative country/chamber pop/folk-pop/freak folk/indie folk/indie pop/indie rock/lo-fi/modern rock/new americana/slow core/stomp and holler",10,0.298,0.624,0.755,0.11,0.244,6.984,0.0302,0.419,130.077,228173
138,"Sliced Africa","Roman Flügel","float house/microhouse/minimal tech house/minimal techno/tech house",21,0.674,0.805,0.893,0.0796,0.725,6.412,0.0441,0.000173,121.987,390234
139,Celebrate,"Anderson .Paak","escape room/hip hop/indie r&b/la indie/rap",55,0.863,0.703,0.759,0.664,0.0031,6.554,0.149,0.0484,94.009,226187
140,"JUST LIKE WE NEVER SAID GOODBYE",SOPHIE,"art pop/chamber psych/electropop/escape room/indie r&b/indietronica",3,0.333,0.467,0.564,0.103,0.000574,4.539,0.0654,0.268,143.277,188521
141,"Ain't It Sweet","Phil Cook","alternative country/deep new americana/indie folk/new americana/roots rock/stomp and holler",17,0.624,0.529,0.833,0.146,0.105,7.751,0.0439,0.604,161.126,242512
142,"Ain't No Need","Buddy Guy/Junior Mance/Junior Wells","blues/blues-rock/chicago blues/classic rock/country blues/electric blues/modern blues/soul blues/southern rock/traditional blues",14,0.626,0.707,0.441,0.149,0.00399,8.644,0.0478,0.933,77.582,271187
143,"Touch The Leather - Redux","Fat White Family","chamber psych",35,0.652,0.68,0.64,0.111,0.842,5.208,0.0258,0.0298,108.236,202204
144,"I Turn My Camera On",Spoon,"alternative dance/alternative rock/austindie/chamber pop/dance-punk/folk-pop/garage rock/indie folk/indie pop/indie rock/indietronica/lo-fi/modern rock/neo-psychedelic/stomp and holler",43,0.777,0.92,0.364,0.11,0.000298,9.371,0.0381,0.0196,100.171,212027
145,Daffodils,"Mark Ronson/Kevin Parker",pop,57,0.283,0.723,0.539,0.0343,0.0132,8.041,0.038,0.0412,108.946,298133
146,"Bheed Mein, Pt. 2","Udit Narayan/Shreya Ghoshal","chutney/desi/desi hip hop/filmi/indian pop/modern bollywood/nepali/sufi",15,0.921,0.43,0.844,0.093,0,8.384,0.0819,0.545,80.696,361720
147,"Big Love - Radio Edit","Pete Heller's Big Love","disco house",24,0.574,0.695,0.707,0.0678,0.774,11.61,0.0405,0.00115,126.789,240947
148,Honey,"Kid Wave","alt-indie rock",11,0.569,0.429,0.785,0.242,0.154,7.106,0.0438,0.00197,122.037,216063
149,"Ascension (Don't Ever Wonder)",Maxwell,"dance pop/funk/hip pop/neo soul/new jack swing/quiet storm/r&b/soul/urban contemporary",65,0.778,0.753,0.471,0.131,0.0299,10.48,0.0317,0.0805,96.038,346133
150,"Ursa Major Find",Colleen,"ambient/art pop/compositional ambient/dark jazz/drone/electra/experimental pop/fourth world/freak folk/j-ambient/new weird america/warm drone",22,0.0744,0.37,0.159,0.09,0.0175,14.881,0.0397,0.988,112.616,247120
151,"We The People....","A Tribe Called Quest","alternative hip hop/conscious hip hop/east coast hip hop/gangster rap/hardcore hip hop/hip hop/jazz rap/pop rap/rap",60,0.897,0.71,0.805,0.141,0,5.471,0.0637,0.00909,92.601,172013
152,"Desitively Bonnaroo","Dr. John","blues/blues-rock/classic rock/classic soul/deep funk/electric blues/folk rock/funk/jazz blues/louisiana blues/modern blues/new orleans blues/piano blues/psychedelic rock/roots rock/soul/traditional blues",16,0.968,0.84,0.685,0.0511,0.291,8.793,0.0695,0.51,110.786,151360
153,Marienbad,"Julia Holter","art pop/art rock/chamber pop/chamber psych/chillwave/dream pop/electra/escape room/experimental/experimental pop/folk-pop/fourth world/freak folk/garage psych/indie pop/indie rock/la indie/lo-fi/neo-psychedelic/new weird america/noise pop/preverb/slow core",5,0.195,0.447,0.376,0.112,0.000105,9.616,0.0598,0.765,107.768,323253
154,"Cosmic Tides","Peaking Lights",---,9,0.649,0.603,0.486,0.112,0.818,13.574,0.0557,0.534,150.014,388268
155,"Itz not Rite","DJ Rashad","bass music/fluxwork/footwork/future garage/ghettotech/outsider house",9,0.787,0.808,0.732,0.343,0.951,5.692,0.0762,0.000732,159.718,200098
156,"""The Night"" (Feat. Childish Major)","Rome Fortune",---,13,0.678,0.87,0.555,0.379,0.000307,8.431,0.105,0.0324,121.975,190616
157,Chum,"Earl Sweatshirt","alternative hip hop/escape room/hip hop/rap/underground hip hop",66,0.193,0.51,0.503,0.108,0.002,8.756,0.242,0.0216,153.582,243773
158,"Romeo (Acoustic Version)","Basement Jaxx","alternative dance/big beat/dance pop/disco house/electronic/new rave/vocal house",13,0.226,0.546,0.474,0.346,0.000501,7.86,0.0445,0.673,120.096,215160
159,Dumb,"Jazmine Sullivan/Meek Mill","dance pop/deep pop r&b/hip pop/indie r&b/neo soul/pop/r&b/urban contemporary",43,0.727,0.695,0.775,0.0693,0,5.897,0.216,0.287,74.992,211147
160,Alisa,"Chad Valley","balearic/chillwave/indie psych-rock/indietronica/nu gaze/shimmer pop/vapor soul",9,0.106,0.301,0.418,0.269,0.0199,8.77,0.0422,0.427,84.565,146786
161,"Hoover Dam",Sugar,"alternative pop/alternative rock/dream pop/gbvfi/jangle pop/lo-fi/power pop",26,0.628,0.405,0.952,0.277,0.716,3.839,0.0314,0.128,92.49,328467
162,"boom boom",jennylee,preverb,21,0.394,0.462,0.706,0.339,0.00435,7.866,0.0405,0.288,110.131,232373
163,"Golden Boys",Res,"neo soul",31,0.936,0.766,0.85,0.0622,0,4.834,0.0823,0.0336,129.921,278973
164,"A Life Of Illusion","Joe Walsh","album rock/blues-rock/classic rock/country rock/folk rock/hard rock/heartland rock/mellow gold/rock/roots rock/soft rock/southern rock/symphonic rock",62,0.93,0.692,0.613,0.094,0.0652,10.735,0.0282,0.0407,120.901,210533
165,"Summer Breeze, Pts. 1 & 2","The Isley Brothers","classic soul/disco/funk/motown/quiet storm/soul/southern soul",54,0.544,0.31,0.629,0.122,0.00894,10.057,0.0484,0.212,152.276,371707
166,"Lived In Bars","Cat Power","art pop/chamber pop/folk-pop/freak folk/indie folk/indie pop/indie rock/melancholia/singer-songwriter/slow core",46,0.21,0.518,0.329,0.111,4.37E-6,10.174,0.032,0.805,98.996,224427
167,"Eternal Return","Sunn 0)))/Ulver","atmospheric black metal/avantgarde metal/dark jazz/doom metal/drone/drone metal/experimental/experimental rock/industrial/post-doom metal/post-metal/sludge metal/stoner metal/stoner rock",16,0.0515,0.104,0.386,0.216,0.841,14.828,0.038,0.143,83.643,849987
168,Boom,Le1f,"escape room/lgbtq+ hip hop/strut",30,0.33,0.556,0.834,0.529,5.4E-6,4.573,0.445,0.186,129.194,206820
169,"Moscow Nights","The Red Army Choir","russian folk",28,0.273,0.26,0.267,0.115,0.000642,12.458,0.0356,0.959,88.289,232440
170,"Tonight You Belong to Me (Recorded December 1926)","Gene Austin","big band/christmas/swing/vintage jazz",12,0.165,0.402,0.187,0.0938,0.933,15.875,0.0467,0.995,68.498,215144
171,"Spinning Wheel - 1994 Remastered Version","Shirley Bassey","adult standards/cabaret/christmas/easy listening/lounge/vocal jazz",23,0.616,0.667,0.7,0.656,1.23E-5,8.595,0.0956,0.248,110.134,187773
172,"The Star of a Story","Vijay Iyer Trio","avant-garde jazz/contemporary jazz/contemporary post-bop/jazz trio",25,0.401,0.394,0.389,0.108,0.812,14.173,0.0467,0.011,102.941,346320
173,"Billie Holiday",Warpaint,"alternative dance/art pop/chamber pop/chamber psych/chillwave/dance-punk/dream pop/garage rock/indie pop/indie rock/indietronica/la indie/modern alternative rock/modern rock/neo-psychedelic/new rave/nu gaze/trip hop",57,0.262,0.518,0.385,0.0931,0.000536,11.125,0.0286,0.64,100.878,405027
174,"I Don't Feel Like Dancin' - Radio Edit","Scissor Sisters","dance pop/electropop/europop/pop rock",67,0.912,0.711,0.924,0.114,0,3.398,0.0282,0.0156,108.033,248640
175,"Brute Fury","Essential Logic","experimental rock/no wave/post-punk/uk post-punk/zolo",26,0.962,0.688,0.61,0.0792,0.0362,5.479,0.0572,0.448,132.851,236467
176,"Minus Fourteen",Datassette,---,13,0.816,0.522,0.933,0.121,0.837,9.735,0.035,4.42E-6,155.025,254015
177,Mope,Damero,---,1,0.175,0.723,0.398,0.12,0.188,13.184,0.106,0.221,129.966,276427
178,"Sun Will Set","Zoë Keating","bow pop/cello/compositional ambient/etherpop",37,0.138,0.496,0.128,0.0749,0.784,16.785,0.0351,0.953,118.013,476027
179,"Sussa Nita","James Carter",---,11,0.45,0.641,0.324,0.116,0.261,16.315,0.0381,0.513,109.243,365627
180,"The Mezz","Radioactive Man","detroit techno/electro",20,0.167,0.669,0.519,0.115,0.886,12.579,0.0494,0.0724,128.062,488520
181,"White pixels",Sync24,ambient/psychill,29,0.122,0.366,0.43,0.104,0.869,17.748,0.0411,0.477,99.988,480973
182,"Chord Left","Agnes Obel","chamber pop/focus",57,0.0377,0.622,0.0908,0.103,0.967,20.476,0.0651,0.995,182.003,148533
183,Chicken,"Maceo Parker","jazz funk/jazz fusion/jazz saxophone/p funk/soul jazz",34,0.926,0.681,0.612,0.0526,0.836,12.21,0.0631,0.119,94.292,502000
184,"Brother, My Cup Is Empty - 2010 Remastered Version","Nick Cave & The Bad Seeds","alternative rock/art rock/new wave/permanent wave/rock",43,0.922,0.549,0.724,0.488,0,6.81,0.0424,0.0877,103.015,182493
185,"Piano Sonata No. 12 in F Major, K.332/300k: II. Adagio","Wolfgang Amadeus Mozart/Robert Casadesus","classical/classical era",5,0.241,0.323,0.094,0.0785,0.896,25.245,0.037,0.993,73.245,278493
186,"Free Will And Testament","Robert Wyatt","art rock/british folk/canterbury scene/experimental/experimental rock/fourth world/freak folk/free improvisation/no wave/psychedelic rock/zolo",2,0.213,0.41,0.216,0.161,0.0044,16.624,0.0342,0.832,139.214,252827
187,"Katrina Outtake","Matthew Robert Cooper",---,15,0.0388,0.158,0.0234,0.0744,0.971,28.311,0.0642,0.993,136.086,151653
188,"Nocturne 1","Ben Lukas Boysen","abstract idm/ambient/compositional ambient/drift/focus/fourth world/warm drone",21,0.156,0.248,0.345,0.108,0.863,16.296,0.0356,0.0322,47.137,232020
189,"How to Save a Life (Vector of Eternity)","Mikael Seifu",fluxwork,16,0.432,0.483,0.486,0.188,0.642,12.278,0.0351,0.0753,90.015,371709
190,Stambecco,"Alessandro Cortini",mandible,18,0.754,0.66,0.376,0.487,0.927,15.746,0.0393,0.811,92.116,359214
191,"The Worst In You","Andy Shauf","canadian folk/chamber pop/folk-pop/freak folk/indie folk/saskatchewan indie",29,0.815,0.67,0.634,0.119,0,7.081,0.0234,0.326,93.484,175760
192,Drivers,"John Andrews & The Yawns",preverb,33,0.435,0.549,0.546,0.579,0.941,6.12,0.0301,0.136,118.983,240750
193,"Black Land Of The Nile","Masequa Myers",---,4,0.667,0.434,0.578,0.179,0,9.605,0.0316,0.311,135.785,175960
194,"Future Flora","Todd Sickafoose","contemporary jazz",1,0.212,0.328,0.468,0.103,0.858,11.579,0.0371,0.423,174.418,387387
195,"The Oldest Of Sisters",Balthazar,"belgian indie/belgian rock/chamber pop/dutch indie/dutch rock",14,0.44,0.653,0.42,0.108,5.69E-5,7.822,0.0286,0.0715,109.996,163985
196,"Money, Power and Respect (feat. DMX and Lil' Kim)","The Lox/DMX/Lil' Kim","dirty south rap/east coast hip hop/gangster rap/hardcore hip hop/hip hop/hip pop/pop rap/rap/southern hip hop",36,0.423,0.814,0.707,0.164,0,4.975,0.258,0.00597,95.827,256640
197,"No One's Gonna Love You","The S.O.S Band","disco/electro/funk/motown/new jack swing/post-disco/quiet storm/soul/urban contemporary",46,0.857,0.756,0.497,0.0527,0.0485,10.126,0.0342,0.0315,100.619,406453
198,"Fantastic Man","William Onyeabor",afrobeat/afropop/funk/world,44,0.957,0.701,0.751,0.061,0.715,10.699,0.0578,0.0019,114.292,386160
199,"I'm On My Way - 2006 Digital Remaster","The Cannonball Adderley Quintet","bebop/contemporary post-bop/cool jazz/free jazz/hard bop/jazz/jazz funk/jazz saxophone/soul jazz",16,0.659,0.516,0.745,0.205,0.0124,6.626,0.0698,0.523,99.184,469173
200,"There Are Monsters In This Bed",Lapalux,"bass music/chillwave/future garage/indie r&b/indietronica/vapor twitch/wave/wonky",27,0.241,0.335,0.774,0.623,0.0403,7.174,0.123,0.117,101.531,171709
201,Respiration,"Black Star/Common","alternative hip hop/east coast hip hop/hardcore hip hop/hip hop/pop rap/southern hip hop",55,0.501,0.505,0.745,0.187,0,5.895,0.43,0.234,178.66,365333
